 DEPTH_METRES,02/09/2021,03/09/2021,06/09/2021,07/09/2021,09/09/2021,13/09/2021,21/09/2021,23/09/2021,24/09/2021,27/09/2021,01/10/2021
0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.06395,0.034150004,0.019949973,0.049600005,-0.082400024,-0.10400003,-0.17835,-0.23390001,-0.2628,-0.4208,-0.5969
1,0.047250032,0.012450039,-0.06125,-0.064749986,-0.2486,-0.31370002,-0.46429998,-0.59564996,-0.6531,-0.96805,-1.31545
1.5,-0.07519996,-0.14104995,-0.32205,-0.46339998,-0.5345,-0.65165,-0.90779996,-1.1073499,-1.17355,-1.64755,-2.1883998
2,-0.27509993,-0.37324992,-0.59714997,-0.9316,-0.85795,-0.9957,-1.3771,-1.6229498,-1.6983,-2.34445,-3.0551498
2.5,-0.56009996,-0.6739999,-0.96115,-1.24195,-1.19175,-1.36835,-1.8473,-2.165,-2.2515001,-3.06765,-3.9575999
3,-0.9094,-1.0250499,-1.4194,-1.6476,-1.61335,-1.80235,-2.38235,-2.75455,-2.8452501,-3.8642,-4.9347
3.5,-1.26185,-1.3742499,-1.9093,-2.14155,-2.0506,-2.2069502,-2.91525,-3.32695,-3.4620502,-4.64025,-5.913
4,-1.6588,-1.7633,-2.4015498,-2.6231,-2.4847002,-2.6079502,-3.4508,-3.9138002,-4.0917,-5.4366,-6.91685
4.5,-2.0887,-2.2272,-2.9122,-3.29035,-2.9165502,-3.0440502,-3.9877,-4.5090504,-4.6895,-6.25,-7.9672003
5,-2.4543,-2.6777,-3.4027998,-3.7584999,-3.28625,-3.4211001,-4.478,-5.0573006,-5.2641997,-7.04025,-8.99405
5.5,-2.8060498,-3.05975,-3.8733997,-4.2128,-3.7610502,-3.8851001,-5.0294,-5.6473503,-5.89145,-7.9073496,-10.14445
6,-2.9780498,-3.2410002,-4.1721497,-4.5099,-4.1595,-4.2638,-5.4825,-6.1424003,-6.4018497,-8.667199,-11.2029
6.5,-3.1222498,-3.3792002,-4.3837495,-4.8709,-4.4381003,-4.55135,-5.8793,-6.5533004,-6.8437495,-9.326149,-12.1516
7,-3.1866999,-3.4168003,-4.5360994,-5.1437,-4.682,-4.79125,-6.2477,-6.9118505,-7.2349997,-9.928899,-13.0814
7.5,-3.2139997,-3.4443502,-4.6337996,-4.9276,-4.9182,-4.9776,-6.5173,-7.2262006,-7.5621495,-10.490299,-13.9323
8,-3.1552997,-3.3784003,-4.7134495,-5.15985,-5.10215,-5.1184,-6.71575,-7.4729004,-7.8289995,-10.975949,-14.65465
8.5,-3.0809996,-3.3438003,-4.7657495,-5.28065,-5.2514,-5.1931,-6.88535,-7.6788006,-8.0529995,-11.381,-15.27185
9,-2.9665995,-3.2273502,-4.7239494,-5.2764,-5.2672,-5.1663,-6.9134502,-7.7443004,-8.140599,-11.646799,-15.6956
9.5,-2.8077495,-3.0625002,-4.5731497,-5.2405,-5.1481,-5.01325,-6.7928505,-7.66835,-8.0884495,-11.743349,-15.942699
10,-2.5527995,-2.8727002,-4.3773994,-5.27115,-4.93925,-4.7869,-6.6168504,-7.5016003,-7.9471993,-11.731049,-16.0766
10.5,-2.3485494,-2.6251502,-4.0794992,-5.02675,-4.68025,-4.4726,-6.3087006,-7.24135,-7.6837993,-11.620149,-16.070349
11,-2.0962994,-2.3828502,-3.7256494,-4.79015,-4.3761,-4.13785,-6.0068507,-6.94285,-7.3751493,-11.412298,-15.971748
11.5,-1.8432994,-2.0727,-3.3844495,-4.50185,-4.0829,-3.8260999,-5.7125006,-6.6573,-7.0957494,-11.192498,-15.835148
12,-1.6190494,-1.84465,-3.1189494,-4.30625,-3.8301501,-3.5978498,-5.517151,-6.46355,-6.9051995,-11.012749,-15.689198
12.5,-1.4657995,-1.6796,-2.9634495,-4.19105,-3.69285,-3.4564998,-5.392101,-6.3056,-6.7623496,-10.851949,-15.519247
13,-1.3139995,-1.5429001,-2.8429494,-4.1282,-3.5573,-3.3161,-5.2631006,-6.1749,-6.6214495,-10.678099,-15.311997
13.5,-1.2646996,-1.4794501,-2.7235494,-4.03805,-3.44565,-3.1719499,-5.1541004,-6.125,-6.4802995,-10.517549,-15.097998
14,-1.1053495,-1.2801502,-2.5453494,-3.8397503,-3.2480001,-2.9871497,-4.9716005,-5.941,-6.2922993,-10.2478485,-14.654848
14.5,-0.98829955,-1.1519002,-2.4564993,-3.7626004,-3.1711001,-2.9123998,-4.9282007,-5.88745,-5.6899743,-10.041549,-14.241248
